,art_movement,primary_medium,pl,sh,representation,spatial_dimension,s_no,labels
301,7,0,4,2,0,0,303,4
302,7,2,2,4,0,0,304,9
303,7,0,4,3,0,0,305,19
304,7,3,4,4,1,0,306,0
305,7,1,1,1,0,1,307,18
306,7,0,4,1,0,0,308,4
307,7,2,0,1,0,0,309,18
308,9,4,3,4,0,0,310,3
309,7,2,1,3,0,0,311,9
310,7,2,3,1,1,0,312,4
311,7,5,4,3,0,1,313,13
312,7,4,0,0,1,0,314,18
313,9,2,3,2,0,0,315,15
314,9,4,3,1,1,0,316,3
315,7,0,4,0,0,0,317,4
316,9,0,2,2,0,0,318,15
317,7,3,4,4,1,0,319,0
318,7,4,4,3,1,0,320,13
319,7,5,4,4,0,1,321,13
320,7,5,4,4,0,1,322,13
321,7,5,5,1,1,1,323,13
322,7,5,5,2,0,1,324,13
323,7,3,3,2,1,0,325,0
324,7,3,2,4,1,0,326,9
325,7,2,1,4,0,0,327,9
326,7,3,4,3,1,1,328,0
327,13,5,0,4,1,1,329,10
328,7,4,4,4,1,0,330,0
329,7,0,2,4,0,0,331,5
330,7,0,1,0,0,0,332,4
331,13,5,4,4,1,1,333,10
332,9,4,4,2,0,0,334,3
333,7,5,4,3,1,1,335,13
334,7,0,4,4,1,0,336,19
335,7,5,4,4,1,1,337,13
336,7,0,4,4,0,0,338,19
337,13,0,2,3,0,0,339,12
338,7,4,4,2,0,0,340,13
339,7,0,2,5,0,0,341,5
340,7,2,2,3,0,1,342,9
341,13,5,2,4,1,1,343,10
342,7,4,2,4,0,0,344,17
343,2,4,4,4,0,0,345,8
344,7,5,4,4,0,1,346,13
345,7,0,4,4,1,0,347,19
346,16,0,4,0,0,0,348,7
347,7,5,4,4,0,1,349,13
348,7,3,2,4,1,0,350,9
349,7,5,2,4,1,1,351,17
350,7,2,4,4,0,0,352,0
351,7,0,0,4,1,0,353,5
352,7,4,2,4,0,0,354,17
353,7,2,2,4,0,0,355,9
354,7,4,3,4,0,0,356,0
355,7,0,2,4,0,0,357,5
356,16,5,4,1,0,1,358,10
357,7,3,5,1,1,0,359,4
358,3,2,2,4,0,0,360,8
359,7,5,4,2,0,1,361,13
360,7,3,1,2,1,0,362,18
361,7,4,2,1,1,0,363,18
362,3,2,2,4,0,0,364,8
363,7,3,5,4,1,0,365,0
364,28,5,2,2,1,1,366,14
365,7,3,1,3,1,0,367,9
366,28,0,4,4,1,0,368,14
367,7,2,0,4,1,0,369,9
368,7,4,2,4,0,0,370,17
369,7,2,1,3,0,0,371,9
370,12,0,4,4,1,0,372,12
371,14,2,3,4,0,0,373,12
372,12,4,4,4,0,0,374,12
373,7,0,1,3,1,1,375,5
374,10,5,1,3,0,1,376,17
375,7,2,3,3,1,0,377,0
376,11,2,4,3,1,0,378,12
377,7,0,1,0,1,0,379,4
378,11,4,3,3,0,0,380,3
379,7,0,4,3,0,0,381,19
380,11,2,4,3,0,0,382,12
381,7,2,2,2,1,0,383,18
382,28,3,1,4,0,0,384,14
383,7,1,0,1,1,1,385,18
384,7,5,3,4,0,1,386,13
385,26,5,0,4,1,1,387,1
386,7,2,0,1,1,0,388,18
387,28,2,3,4,1,0,389,14
388,28,3,2,3,1,0,390,14
389,15,2,0,2,0,0,391,10
390,9,3,1,1,1,1,392,18
391,26,1,2,3,0,1,393,1
392,2,5,3,3,0,1,394,8
393,7,1,3,5,0,1,395,19
394,7,6,4,3,0,0,396,13
395,7,3,4,2,1,0,397,0
396,7,3,2,3,1,0,398,9
397,7,3,5,4,1,0,399,0
398,7,3,0,0,1,0,400,18
399,7,0,2,4,0,0,401,5
400,7,0,2,0,0,0,402,4
401,7,3,4,1,1,0,403,4
402,7,0,1,1,0,0,404,4
403,4,2,2,2,0,0,405,8
